Red, Green, Blue
545, 661, 531
1092, 1325, 1378
1148, 1242, 1510
1139, 1211, 1554
1080, 1087, 1437
981, 1084, 1539
1326, 1283, 1700
1050, 1013, 1539
1153, 1163, 1711
949, 1054, 1673
1319, 1294, 1791
1261, 1195, 1837
995, 990, 1754
1385, 1213, 1847
985, 978, 1715
1053, 1005, 1840
1494, 1374, 1889
1108, 1032, 1690
1138, 951, 1775
1117, 1062, 1812
1532, 1342, 1897
1144, 952, 1840
1143, 980, 1785
1124, 1042, 1848
1207, 1056, 1819
1198, 999, 1890
1224, 1110, 1729
1279, 1093, 1929
1611, 1524, 1989
1153, 1064, 1756
1207, 998, 1822
1346, 1048, 1884
1192, 1066, 1818
1247, 1049, 1904
1273, 1072, 1832
1217, 1106, 1963
881, 541, 1724
1264, 1119, 1778
1265, 1168, 1910
1217, 1184, 1946
1240, 1130, 1989
1286, 1152, 1950
1257, 1125, 1946
1336, 1224, 1928
1269, 1180, 1905
1248, 1093, 1946
949, 548, 1919
1379, 1284, 1885
1321, 1167, 1967
1256, 1258, 1922
1380, 1203, 1921
1309, 1297, 1867
1272, 1225, 1948
908, 605, 1721
1317, 1307, 1915
1290, 1323, 1991
1358, 1331, 1943
1265, 1458, 1865
1216, 1413, 1930
980, 725, 1699
1352, 1519, 1833
1403, 1585, 1911
1248, 1688, 1814
1337, 1678, 1812
1030, 956, 1653
1381, 1735, 1872
1339, 1923, 1711
1340, 1845, 1798
971, 1170, 1571
1382, 2022, 1684
1402, 2049, 1718
1334, 2003, 1734
1317, 2220, 1681
992, 1313, 1494
1336, 2216, 1672
1413, 2154, 1621
1473, 2167, 1678
994, 1290, 1363
1387, 2243, 1571
1285, 2128, 1438
1430, 2058, 1628
1063, 1248, 1353
1382, 2085, 1574
1388, 2167, 1530
1408, 1923, 1513
998, 1185, 1205
1446, 1924, 1405
1374, 1964, 1345
1388, 1758, 1338
996, 1155, 1206
1374, 1926, 1388
1411, 1822, 1432
1313, 1828, 1219
1039, 1015, 1068
1334, 1813, 1296
1347, 1702, 1243
1342, 1708, 1328
1390, 1652, 1334
957, 939, 941
1334, 1733, 1185
1378, 1621, 1261
1415, 1671, 1245
965, 950, 880
1288, 1690, 1069
1360, 1601, 1157
1388, 1527, 1112
1410, 1547, 1158
946, 781, 832
1352, 1570, 1100
1325, 1433, 1065
1327, 1491, 1016
1054, 834, 833
1361, 1506, 1014
1321, 1469, 998
1453, 1522, 1076
1067, 829, 793
1370, 1433, 920
1390, 1322, 1043
1457, 1372, 929
1381, 1474, 949
972, 719, 617
1456, 1437, 1002
1339, 1405, 849
1505, 1445, 992
1019, 697, 644
1387, 1399, 891
1413, 1377, 902
1401, 1298, 875
965, 711, 604
1570, 1436, 841
1359, 1321, 873
1517, 1328, 842
991, 673, 526
1549, 1390, 861
1450, 1332, 765
1423, 1321, 824
928, 737, 546
1423, 1377, 756
1576, 1280, 785
1523, 1299, 740
1025, 710, 508
1504, 1428, 809
1474, 1221, 728
1346, 1245, 763
959, 702, 495
1432, 1249, 731
1439, 1446, 722
1335, 1280, 703
1411, 1257, 667
866, 744, 445
1319, 1353, 721
1305, 1230, 636
1294, 1377, 737
783, 727, 373
1297, 1345, 754
1143, 1248, 621
1253, 1376, 682
802, 749, 365
1303, 1385, 707
1191, 1274, 630
1249, 1436, 675
644, 759, 304
1262, 1409, 675
1308, 1323, 658
670, 799, 287
1321, 1299, 644
1239, 1278, 579
582, 888, 247
1284, 1446, 640
1242, 1335, 553
678, 858, 172
1250, 1333, 546
1269, 1326, 549
530, 774, 156
1188, 1243, 563
1207, 1281, 484
449, 824, 129
1149, 1258, 544
1105, 1305, 464
1055, 1276, 501
364, 996, 75
935, 1341, 480
863, 1342, 472
817, 1408, 455
225, 1178, 62
782, 1556, 452
745, 1437, 434
674, 1616, 432
629, 1610, 411
595, 1575, 460
593, 1476, 444
570, 1523, 454
53, 1294, 17
556, 1318, 433
536, 1269, 479
554, 1136, 568
555, 1001, 630
563, 859, 657
28, 668, 2
547, 642, 798
590, 499, 820
11, 356, 0
593, 343, 942
610, 261, 974
13, 151, 0
551, 171, 1236
5, 71, 0
640, 107, 1217
11, 22, 0
593, 45, 1349
3, 6, 0
582, 35, 1289
4, 2, 1
571, 33, 1552
1, 1, 0
525, 26, 1347
3, 0, 0
520, 18, 1358
547, 12, 1296
0, 0, 0
523, 9, 1426
0, 0, 0
575, 7, 1198
0, 0, 0
547, 7, 1247
599, 6, 996
0, 0, 0
644, 0, 994
662, 1, 827
0, 0, 0
764, 1, 771
828, 0, 640
0, 0, 0
948, 1, 718
0, 0, 0
1111, 0, 642
1212, 0, 653
0, 0, 0
1376, 0, 567
0, 0, 0
1467, 0, 630
0, 0, 0
1555, 0, 499
0, 0, 0
1650, 0, 512
0, 0, 0
1650, 0, 414
0, 0, 0
1418, 0, 373
0, 0, 0
1297, 0, 290
1159, 0, 269
911, 0, 220
754, 0, 161
1037, 0, 176
656, 0, 71
