Red, Green, Blue
2205, 3776, 15401
541, 835, 1473
566, 800, 1450
550, 749, 1427
579, 831, 1661
662, 818, 1586
713, 869, 1656
783, 778, 1561
829, 847, 1780
893, 849, 1376
992, 776, 1645
1010, 822, 1755
1010, 806, 1548
1045, 812, 1657
1034, 945, 1575
1091, 860, 1602
1134, 891, 1656
1146, 892, 1587
1149, 902, 1486
1162, 921, 1362
1144, 932, 1642
1151, 990, 1472
1131, 916, 1529
1124, 917, 1350
1141, 940, 1560
1279, 978, 1286
1153, 973, 1463
1204, 1056, 1516
1218, 1065, 1194
1227, 1022, 1523
1167, 1046, 1343
1028, 1015, 1462
1245, 1085, 1271
1172, 1113, 1374
1122, 1138, 1384
1149, 1148, 1218
1154, 1198, 1278
1149, 1255, 1262
1002, 1226, 1294
1148, 1242, 1224
1136, 1203, 1294
1169, 1208, 1214
1150, 1244, 1221
1049, 1209, 1257
1230, 1304, 1094
946, 1237, 1352
1121, 1233, 1029
1069, 1354, 1405
1065, 1267, 954
1061, 1394, 1202
1029, 1291, 1180
1176, 1227, 964
929, 1257, 1250
1041, 1262, 964
1122, 1434, 1219
1002, 1337, 1039
1014, 1318, 1178
1003, 1318, 1017
1153, 1318, 1094
833, 1390, 1185
1009, 1347, 918
938, 1334, 1155
939, 1317, 930
880, 1335, 1188
842, 1347, 967
969, 1365, 1015
842, 1402, 1186
942, 1273, 753
846, 1255, 1176
883, 1262, 759
893, 1261, 1141
839, 1243, 824
847, 1307, 1047
703, 1257, 1031
776, 1239, 898
802, 1184, 1113
829, 1166, 790
786, 1236, 1178
836, 1209, 805
745, 1203, 1127
764, 1144, 904
767, 1114, 1014
821, 1134, 979
762, 1116, 867
743, 1113, 1044
775, 1076, 789
648, 1118, 1198
810, 1059, 786
629, 979, 1072
816, 1053, 901
673, 988, 877
687, 1059, 1113
777, 971, 696
698, 965, 1109
844, 992, 731
624, 980, 1051
859, 898, 823
632, 894, 947
719, 913, 908
736, 902, 836
740, 959, 947
798, 903, 767
600, 849, 1072
901, 827, 772
653, 789, 1017
792, 854, 882
709, 822, 853
680, 821, 1087
843, 754, 672
599, 806, 1125
935, 787, 737
690, 732, 1054
814, 795, 825
755, 798, 871
751, 789, 884
911, 756, 763
656, 824, 1074
920, 798, 813
767, 769, 1035
795, 761, 762
818, 798, 1004
749, 773, 806
944, 796, 837
731, 762, 1029
920, 758, 702
813, 843, 954
746, 775, 733
873, 783, 929
841, 753, 861
950, 813, 816
851, 813, 908
879, 777, 713
875, 771, 969
796, 781, 632
891, 799, 912
800, 791, 727
896, 779, 894
902, 809, 771
843, 767, 750
943, 836, 878
755, 818, 600
976, 849, 913
891, 804, 637
884, 839, 913
1001, 798, 685
712, 864, 779
1091, 823, 859
817, 810, 554
973, 780, 921
1001, 802, 546
879, 797, 802
1061, 812, 611
697, 851, 792
1135, 808, 738
814, 800, 629
1020, 849, 820
996, 815, 566
832, 803, 775
1183, 787, 580
687, 901, 701
1214, 814, 692
817, 794, 622
1065, 876, 859
1017, 867, 522
846, 884, 820
1108, 913, 539
697, 877, 724
1219, 868, 630
824, 915, 656
1027, 888, 745
1082, 892, 555
795, 890, 771
1264, 919, 570
747, 841, 614
1064, 904, 635
938, 904, 593
982, 909, 690
1175, 897, 562
750, 923, 691
1332, 888, 503
752, 903, 665
1204, 940, 583
894, 922, 577
996, 892, 640
1073, 944, 525
869, 905, 730
1251, 933, 416
814, 959, 694
1276, 958, 482
864, 892, 582
1161, 937, 602
976, 971, 501
941, 940, 618
1119, 871, 460
788, 909, 633
1165, 895, 498
805, 894, 512
1192, 875, 568
938, 892, 490
959, 935, 546
1209, 899, 419
867, 923, 601
1136, 900, 396
894, 977, 566
1093, 973, 453
1016, 922, 482
1041, 949, 523
1146, 963, 427
894, 916, 569
1269, 929, 439
900, 930, 513
1132, 1000, 514
1121, 916, 427
989, 984, 501
1277, 952, 479
888, 953, 510
1434, 950, 403
1029, 984, 528
1449, 950, 373
1272, 1013, 441
1186, 1014, 473
1668, 984, 418
1192, 970, 482
1764, 963, 391
1248, 989, 568
1554, 1002, 328
1530, 1078, 539
1507, 993, 458
1649, 1086, 412
1727, 1093, 536
1707, 1037, 441
1558, 1104, 542
1921, 1094, 369
1468, 1086, 572
1937, 1120, 396
1683, 1227, 505
1611, 1131, 474
2062, 1164, 424
1477, 1076, 538
2036, 1087, 367
1591, 1168, 696
1593, 1146, 338
1594, 1167, 567
1442, 1152, 405
1617, 1159, 464
1354, 1193, 555
1388, 1228, 377
1309, 1253, 666
1089, 1168, 421
1030, 1191, 561
866, 1189, 504
802, 1173, 504
723, 1188, 568
545, 1199, 467
620, 1183, 612
3835, 6847, 27422
