Red, Green, Blue
53,87,69
17,34,33
21,40,43
20,31,54
38,22,56
38,36,86
21,23,108
25,27,123
15,33,118
13,23,153
16,39,197
33,29,230
31,49,229
29,48,261
37,72,296
42,85,338
43,96,353
64,104,397
67,113,421
105,132,470
68,121,477
79,144,516
66,135,546
99,148,636
78,164,596
77,171,681
100,154,744
129,188,799
128,204,817
136,192,868
146,239,870
190,276,1004
190,249,1024
218,282,1089
260,281,1104
236,366,1149
281,272,1203
273,354,1239
314,339,1344
365,395,1397
364,392,1363
389,459,1400
390,414,1455
406,443,1611
510,498,1600
475,462,1689
529,553,1737
609,527,1777
600,603,1876
652,598,1831
688,581,1792
678,700,1915
737,603,1897
776,657,1925
762,669,1951
881,689,1820
867,836,1997
903,896,2029
913,860,2050
961,950,1957
958,991,2064
1023,1040,1886
1099,1119,2049
1057,1351,2086
1161,1225,2038
1116,1434,2027
1166,1256,1943
1217,1602,1859
1251,1493,1908
1229,1611,1896
1317,1600,2036
1304,1765,1966
1307,1789,1860
1428,1791,1939
1329,1601,1897
1455,1776,1896
1374,1948,1982
1357,1799,1844
1498,1739,1855
1525,1956,1809
1442,1743,1828
1556,1878,1761
1544,1636,1803
1605,1861,1759
1503,1647,1779
1535,1706,1738
1625,1693,1833
1566,1557,1707
1688,1835,1806
1662,1791,1676
1651,1597,1672
1758,1735,1671
1642,1773,1785
1695,1571,1602
1715,1593,1776
1661,1607,1636
1691,1793,1696
1679,1757,1581
1677,1495,1534
1725,1786,1537
1737,1517,1551
1572,1658,1435
1741,1609,1453
1775,1757,1456
1718,1583,1453
1723,1676,1457
1621,1566,1418
1813,1626,1427
1739,1780,1447
1657,1666,1341
1786,1642,1371
1781,1621,1318
1844,1764,1489
1764,1689,1336
1796,1494,1311
1772,1799,1371
1719,1554,1320
1678,1612,1229
1811,1589,1370
1695,1553,1195
1710,1770,1304
1707,1703,1282
1711,1467,1263
1759,1656,1177
1690,1741,1261
1720,1576,1121
1645,1538,1219
1517,1737,1206
1676,1598,1179
1665,1621,1115
1643,1419,1147
1715,1684,1110
1602,1493,1150
1673,1505,1059
1626,1514,1094
1702,1679,1054
1551,1512,1044
1632,1536,1022
1617,1471,1012
1623,1543,1019
1625,1579,976
1557,1473,1013
1632,1517,1014
1630,1628,963
1610,1503,978
1587,1517,949
1523,1408,952
1602,1635,969
1517,1397,962
1525,1504,888
1512,1457,906
1473,1408,874
1578,1582,965
1380,1582,847
1423,1402,894
1496,1463,841
1442,1542,871
1455,1521,849
1464,1507,833
1499,1655,874
1267,1532,858
1387,1542,803
1352,1377,794
1395,1698,717
1269,1467,795
1239,1488,736
1285,1534,808
1282,1641,721
1296,1563,728
1273,1647,749
1293,1459,711
1261,1534,672
1270,1629,784
1211,1581,717
1216,1636,731
1127,1517,627
1245,1898,696
1202,1700,667
1224,1479,632
1236,1811,629
1130,1550,634
1146,1773,607
1207,1826,676
1149,1725,598
1228,1977,645
1177,2021,646
1217,1886,602
1229,2049,612
1157,2194,635
1133,2148,599
1220,2191,605
1122,2217,553
1238,2642,575
1167,2518,524
1208,2136,522
1169,2483,517
1051,2055,553
1038,2117,469
970,1870,531
956,1766,463
868,1425,473
860,1435,466
744,1115,472
750,1097,466
665,976,450
668,845,429
628,735,422
593,640,410
572,508,464
586,446,439
546,341,448
549,345,432
541,241,477
555,226,562
552,181,628
563,128,659
547,132,797
585,92,821
582,92,944
598,75,973
547,58,1236
636,52,1217
592,33,1348
579,33,1290
570,32,1552
520,26,1346
521,18,1358
544,12,1296
523,9,1426
576,7,1198
546,7,1247
599,6,996
644,0,994
663,1,827
763,1,771
828,0,640
948,1,718
1111,0,642
1212,0,653
1376,0,567
1467,0,630
1555,0,499
1650,0,512
1650,0,414
1418,0,373
1297,0,290
1159,0,269
911,0,220
754,0,161
586,0,97
451,0,79
287,0,31
174,0,23
113,0,14
53,0,1
